Id,Source,DateBegin,DateEnd,Latitude,Longitude,Shortname,Title,City,Zip
B12A8C2FEA474B86A17F1364F8CDC7A4_REDUCED,lts,2023-10-07T00:00:00,2023-10-07T00:00:00,46.6706,11.1627,22. Internationales Brassfestival von Meran - Black Dyke Band,22° Festival internazionale per ottoni di Merano - Black Dyke Band,Merano,39012
A6C9F473421B4C9E99673AF722AA8179_REDUCED,lts,2023-09-30T00:00:00,2023-09-30T00:00:00,46.6706,11.1627,22. Internationales Brassfestival von Meran - Salaputia Brass,22° Festival internazionale per ottoni di Merano - Salaputia Brass,Merano,39012
3393DE15BDF1470DA524B6022D586FC5_REDUCED,lts,2023-01-28T00:00:00,2023-01-28T00:00:00,46.922029,11.27605,22. Jägerbiathlon Ridnaun,22a Gara di biathlon per i cacciatori,Racines,39049
291E62FC123B4129A28D984DC86AD53A_REDUCED,lts,2020-06-24T00:00:00,2020-06-28T00:00:00,46.7245,12.2243,23. Alta Pusteria Int. Choir Festival,23° Alta Pusteria Int. Choir Festival,Sesto,39034
8C49FC24C9FA4C73BD718ED2D4287142_REDUCED,lts,2023-06-04T00:00:00,2023-06-04T00:00:00,46.7243,12.2244,23. Cortina Dobbiaco Run,23^ Cortina Dobbiaco Run,Dobbiaco,39034
1925E2856AB04EB1BAB056985A3DCE9D_REDUCED,lts,2023-07-15T00:00:00,2023-07-15T00:00:00,46.8095,10.5381,23. Reschenseelauf,23° Giro Lago di Resia,Curon Venosta,39027
FA6E279C066A4DD195D4DA70BFA4BFE5_REDUCED,lts,2023-03-25T00:00:00,2023-03-26T00:00:00,46.5437,11.2036,23. Südtiroler Mineralientage,23. Giornate di minerali,Nalles,39010
2A42D83F699E48EEBC23BD1C147B541E_REDUCED,lts,2016-10-09T00:00:00,2016-10-09T00:00:00,46.7579,11.6821,24. Apfelfest,24° Festa delle Mele,Naz-Sciaves,39040
C2249A586AB74EF986DCAFA6D6CFCA17_REDUCED,lts,2023-03-11T00:00:00,2023-03-11T00:00:00,46.6973,12.3564,24. Drei Zinnen Skiraid - Skitourenrennen,24esimo Skiraid Tre Cime - Gara di sci alpinismo,Sesto,39030
9643BAE409044EAE9213EFF15E47FA46_REDUCED,lts,2023-06-30T00:00:00,2023-07-01T00:00:00,46.767246,10.535261,24h Trophy – 360° Wandern am Reschensee,,Curon Venosta,
5A0CBCD2F1EA4B4EB54B14F21E30FE2C_REDUCED,lts,2023-06-23T00:00:00,2023-06-24T00:00:00,46.428571,11.536497,24 h Trophy Carezza - im Rosengarten der Dolomiten,24 h Trophy Carezza - nel roseto (Catinaccio) delle Dolomiti,Nova Levante,39056
54C80906821A4750BED5189AD22FAA83_REDUCED,lts,2022-02-24T00:00:00,2022-03-06T00:00:00,46.4977,11.3517,24. Landesausstellung der Südtiroler Freizeitmaler,24° Mostra Provinciale,Bolzano,39100
4D08C0FE53A34D258BA0B8558A4C412F_REDUCED,lts,2023-06-15T00:00:00,2023-08-16T00:00:00,46.7245,12.2243,25. Alta Pusteria Int. Choir Festival - Abendkonzert,25. Alta Pusteria Int. Choir Festival - Rassegna serale,Dobbiaco,39034
