id,zip,city,latitude,longitude,street,country_code
3263,39021.0,Laces,46.6167,10.8583,Via Schuler 2 (Info Gamperhof),IT
3264,39021.0,Coldrano,46.623866,10.822574,Via Lahn 26,IT
3265,39019.0,Tirolo,46.699437,11.155383,Via Aslago 78,IT
3266,39010.0,Caines,46.695558,11.176969,Via Braiter 3,IT
3267,39011.0,Lana,46.6149,11.1537,Via Andreas Hofer 49,IT
3268,39030.0,Sorafurcia,46.7472,12.0108,Via Gassl 17,IT
3269,39019.0,Tirolo,46.681789,11.162684,Via Monte Benedetto 2A,IT
3270,39019.0,Tirolo,46.6735,11.1667,"via Monte S. Zeno, 20",IT
3271,39030.0,Valdaora di Mezzo,46.763185,12.027846,Via Pichl 1,IT
3272,39019.0,Tirolo,46.68917,11.147454,"via Gnaid, 11",IT
3273,39037.0,Vandoies,46.826046,11.695283,Via Serga 15,IT
3274,39042.0,Bressanone,46.7242,11.6636,via Elvas 100,IT
3275,39052.0,Caldaro,46.414305,11.252057,Via Monticolo 5,IT
3276,39057.0,Missiano | Appiano,46.484748,11.25385,Via Missiano 22,IT
3277,39031.0,Brunico,46.797243,11.971092,Lunes 8,IT
3278,39010.0,Nalles,46.537,11.1923,"Via Sirmiano, 12 A",IT
3279,39021.0,Tarrres,46.608335,10.87522,Via Plur 6 - 8,IT
3280,39021.0,Tarres,46.608,10.8779,Via Capella 1,IT
3281,39020.0,Martello,46.5702,10.7807,Montesole 116,IT
3282,39030.0,Valdaora di Sopra,46.7564,12.0431,Via Böden 5,IT
3283,39021.0,San Maertino i.M.,46.63771,10.851831,San Martino i.M. 12,IT
3284,39030.0,Valdaora di Sotto,46.7647,12.0156,"In der Länge, 2",IT
3285,39022.0,Lagundo,46.6778,11.1028,Via Birreria 53,IT
3286,39019.0,Tirolo,46.692978,11.15533,"via Aslago, 21",IT
3287,39022.0,Lagundo,46.685277,11.131361,Via San Ippolito 6,IT
3288,39057.0,S. Paolo | Appiano,46.473541,11.260892,Riva di Sotto 21,IT
3289,39020.0,Martell,46.5731,10.8011,Ennewasser 188,IT
3290,39010.0,Rifiano,46.70477,11.182752,Via Giovo 51,IT
3291,39037.0,Meransen,46.822394,11.674474,Via Enderecker 4,IT
3292,39019.0,Tirolo,46.696213,11.158708,"via Aslago, 57",IT
3293,39017.0,Scena,46.726702,11.22902,Talle di sopra 27/B,IT
3294,39030.0,Valdaora di Sotto,46.7694,12.0173,Via Rindl 2,IT
3295,39022.0,Lagundo,46.6792,11.1231,Via M. Ladurner 13/b,IT
3296,39017.0,Scena,46.695459,11.194718,Via Ifinger 21,IT
3297,39040.0,Aldino,46.3682,11.358,Mitterstrich 2,IT
3298,39012.0,Merano,46.663743,11.162367,Via S. Marco 1/A,IT
3299,39025.0,Naturno,46.653,10.9959,"Via delle Bocce, 11",IT
3300,39036.0,Badia,46.609465,11.892646,Str. Runcac 20,IT
3301,39015.0,S. Leonardo in Passiria,46.813136,11.247653,Via Giudizio 18,IT
3302,39021.0,Laces,46.614648,10.851617,Via Plafat 6,IT
3303,39052.0,Caldaro,46.419051,11.242071,Via Penegal 21 C,IT
3304,39030.0,Valdaora di Sopra,46.7547,12.0411,Aue 36,IT
3305,39021.0,Laces,46.61848,10.857604,Via Bottai 6,IT
3306,39021.0,Morter,46.5993,10.8289,via Montani di sopra 7,IT
3307,39021.0,Laces,46.618001,10.857271,Via Giovo 1,IT
3308,39030.0,Valdaora di Sotto,46.766639,12.021146,"Via Parrocchia, 18",IT
3309,39020.0,Rablà,46.6708,11.0586,Via Gerold 24,IT
3310,39010.0,Andriano,46.5157,11.2266,"Via Bottai, 17",IT
3311,39030.0,Valdaora di Sotto,46.7658,12.0214,Oberrain 8,IT
